Variable Name,Variable Description
DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .
DBQ095Z,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table? Would you say . . .
DR1_300,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?"
DR1_320Z,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water."
DR1_330Z,Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.
DR1BWATZ,Total bottled water drank yesterday (gm)
DR1DAY,Intake day of the week
DR1DBIH,Number of days between intake day and the day of family questionnaire administered in the household.
DR1DRSTZ,Dietary recall status
DR1EXMER,Interviewer ID code
DR1HELPD,Who helped in responding for this interview
DR1LANG,The respondent spoke mostly:
DR1MNRSP,Who was the main respondent for this interview?
DR1SKY,"What type of salt was it? (Was it ordinary or seasoned salt, lite salt, or a salt substitute?)"
DR1STY,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or seasoned salt, lite salt, or a salt substitute."
DR1TACAR,Alpha-carotene (mcg)
DR1TALCO,Alcohol (gm)
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg)
DR1TATOC,Vitamin E as alpha-tocopherol (mg)
DR1TB12A,Added vitamin B12 (mcg)
DR1TBCAR,Beta-carotene (mcg)
DR1TCAFF,Caffeine (mg)
DR1TCALC,Calcium (mg)
DR1TCARB,Carbohydrate (gm)
DR1TCHL,Total choline (mg)
DR1TCHOL,Cholesterol (mg)
DR1TCOPP,Copper (mg)
DR1TCRYP,Beta-cryptoxanthin (mcg)
DR1TFA,Folic acid (mcg)
DR1TFDFE,Folate as dietary folate equivalents (mcg)
DR1TFF,Food folate (mcg)
DR1TFIBE,Dietary fiber (gm)
DR1TFOLA,Total folate (mcg)
DR1TIRON,Iron (mg)
DR1TKCAL,Energy (kcal)
DR1TLYCO,Lycopene (mcg)
DR1TLZ,Lutein + zeaxanthin (mcg)
DR1TM161,MFA 16:1 (Hexadecenoic) (gm)
DR1TM181,MFA 18:1 (Octadecenoic) (gm)
DR1TM201,MFA 20:1 (Eicosenoic) (gm)
DR1TM221,MFA 22:1 (Docosenoic) (gm)
DR1TMAGN,Magnesium (mg)
DR1TMFAT,Total monounsaturated fatty acids (gm)
DR1TMOIS,Moisture (gm)
DR1TNIAC,Niacin (mg)
DR1TNUMF,Total number of foods/beverages reported in the individual foods file
DR1TP182,PFA 18:2 (Octadecadienoic) (gm)
DR1TP183,PFA 18:3 (Octadecatrienoic) (gm)
DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR1TP225,PFA 22:5 (Docosapentaenoic) (gm)
DR1TP226,PFA 22:6 (Docosahexaenoic) (gm)
DR1TPFAT,Total polyunsaturated fatty acids (gm)
DR1TPHOS,Phosphorus (mg)
DR1TPOTA,Potassium (mg)
DR1TPROT,Protein (gm)
DR1TRET,Retinol (mcg)
DR1TS040,SFA 4:0 (Butanoic) (gm)
DR1TS060,SFA 6:0 (Hexanoic) (gm)
DR1TS080,SFA 8:0 (Octanoic) (gm)
DR1TS100,SFA 10:0 (Decanoic) (gm)
DR1TS120,SFA 12:0 (Dodecanoic) (gm)
DR1TS140,SFA 14:0 (Tetradecanoic) (gm)
DR1TS160,SFA 16:0 (Hexadecanoic) (gm)
DR1TS180,SFA 18:0 (Octadecanoic) (gm)
DR1TSELE,Selenium (mcg)
DR1TSFAT,Total saturated fatty acids (gm)
DR1TSODI,Sodium (mg)
DR1TSUGR,Total sugars (gm)
DR1TTFAT,Total fat (gm)
DR1TTHEO,Theobromine (mg)
DR1TVARA,Vitamin A as retinol activity equivalents (mcg)
DR1TVB1,Thiamin (Vitamin B1) (mg)
DR1TVB12,Vitamin B12 (mcg)
DR1TVB2,Riboflavin (Vitamin B2) (mg)
DR1TVB6,Vitamin B6 (mg)
DR1TVC,Vitamin C (mg)
DR1TVD,Vitamin D (D2 + D3) (mcg)
DR1TVK,Vitamin K (mcg)
DR1TWS,"When you drink tap water, what is the main source of the tap water? Is the city water supply (community water supply); a well or rain cistern; a spring; or something else?"
DR1TZINC,Zinc (mg)
DRABF,Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.
